Epoch 001/1 | Batch 0003/4 | Index 0055/4710 | Loss:  18.8918 | Loss_p:    12.02 | PPx:   885.10 | Lexp:     8.46 | LR: 5.9448e-05 | Device: cuda | Batch_t:  2.93s | Remaining: 15.15h
Epoch 001/1 | Batch 0003/4 | Index 0056/4710 | Loss:  18.8561 | Loss_p:    12.03 | PPx:   847.56 | Lexp:     8.51 | LR: 6.0510e-05 | Device: cuda | Batch_t:  2.82s | Remaining: 14.57h
Epoch 001/1 | Batch 0003/4 | Index 0057/4710 | Loss:  18.8590 | Loss_p:    12.02 | PPx:   856.77 | Lexp:     8.72 | LR: 6.1571e-05 | Device: cuda | Batch_t:  3.34s | Remaining: 17.25h
Epoch 001/1 | Batch 0003/4 | Index 0058/4710 | Loss:  18.8187 | Loss_p:    12.03 | PPx:   818.42 | Lexp:     8.38 | LR: 6.2633e-05 | Device: cuda | Batch_t:  2.95s | Remaining: 15.23h
Epoch 001/1 | Batch 0003/4 | Index 0059/4710 | Loss:  18.8047 | Loss_p:    12.03 | PPx:   806.41 | Lexp:     8.58 | LR: 6.3694e-05 | Device: cuda | Batch_t:  3.40s | Remaining: 17.55h
Epoch 001/1 | Batch 0003/4 | Index 0060/4710 | Loss:  18.7736 | Loss_p:    12.02 | PPx:   786.06 | Lexp:     8.41 | LR: 6.4756e-05 | Device: cuda | Batch_t:  3.41s | Remaining: 17.62h
| Estimated Remaining:20.73 hours | 
Epoch 001/1 | Batch 0003/4 | Index 0061/4710 | Loss:  18.7114 | Loss_p:    12.03 | PPx:   730.46 | Lexp:     8.57 | LR: 6.5817e-05 | Device: cuda | Batch_t:  3.15s | Remaining: 16.28h
Epoch 001/1 | Batch 0003/4 | Index 0062/4710 | Loss:  18.7205 | Loss_p:    12.03 | PPx:   736.52 | Lexp:     8.51 | LR: 6.6879e-05 | Device: cuda | Batch_t:  3.20s | Remaining: 16.52h
Epoch 001/1 | Batch 0003/4 | Index 0063/4710 | Loss:  18.7021 | Loss_p:    12.02 | PPx:   728.89 | Lexp:     8.85 | LR: 6.7941e-05 | Device: cuda | Batch_t:  2.87s | Remaining: 14.82h
Epoch 001/1 | Batch 0003/4 | Index 0064/4710 | Loss:  18.6580 | Loss_p:    12.02 | PPx:   699.51 | Lexp:     8.48 | LR: 6.9002e-05 | Device: cuda | Batch_t:  3.18s | Remaining: 16.41h
Epoch 001/1 | Batch 0003/4 | Index 0065/4710 | Loss:  18.6149 | Loss_p:    12.03 | PPx:   666.77 | Lexp:     8.42 | LR: 7.0064e-05 | Device: cuda | Batch_t:  2.82s | Remaining: 14.53h
Epoch 001/1 | Batch 0003/4 | Index 0066/4710 | Loss:  18.6165 | Loss_p:    12.02 | PPx:   671.15 | Lexp:     8.45 | LR: 7.1125e-05 | Device: cuda | Batch_t:  3.31s | Remaining: 17.05h
Epoch 001/1 | Batch 0003/4 | Index 0067/4710 | Loss:  18.6263 | Loss_p:    12.02 | PPx:   679.61 | Lexp:     8.57 | LR: 7.2187e-05 | Device: cuda | Batch_t:  3.16s | Remaining: 16.31h
Epoch 001/1 | Batch 0003/4 | Index 0068/4710 | Loss:  18.5818 | Loss_p:    12.03 | PPx:   645.07 | Lexp:     8.50 | LR: 7.3248e-05 | Device: cuda | Batch_t:  3.15s | Remaining: 16.26h
Epoch 001/1 | Batch 0003/4 | Index 0069/4710 | Loss:  18.5188 | Loss_p:    12.02 | PPx:   612.56 | Lexp:     8.52 | LR: 7.4310e-05 | Device: cuda | Batch_t:  3.22s | Remaining: 16.61h
Epoch 001/1 | Batch 0003/4 | Index 0070/4710 | Loss:  18.5491 | Loss_p:    12.02 | PPx:   626.85 | Lexp:     8.66 | LR: 7.5372e-05 | Device: cuda | Batch_t:  3.29s | Remaining: 16.97h
| Estimated Remaining:20.58 hours | 
Epoch 001/1 | Batch 0003/4 | Index 0071/4710 | Loss:  18.5683 | Loss_p:    12.02 | PPx:   638.05 | Lexp:     8.79 | LR: 7.6433e-05 | Device: cuda | Batch_t:  3.00s | Remaining: 15.44h
Epoch 001/1 | Batch 0003/4 | Index 0072/4710 | Loss:  18.5292 | Loss_p:    12.04 | PPx:   600.14 | Lexp:     8.79 | LR: 7.7495e-05 | Device: cuda | Batch_t:  2.89s | Remaining: 14.87h
Epoch 001/1 | Batch 0003/4 | Index 0073/4710 | Loss:  18.4984 | Loss_p:    12.02 | PPx:   594.70 | Lexp:     8.71 | LR: 7.8556e-05 | Device: cuda | Batch_t:  3.19s | Remaining: 16.44h
Epoch 001/1 | Batch 0003/4 | Index 0074/4710 | Loss:  18.5048 | Loss_p:    12.02 | PPx:   596.53 | Lexp:     9.07 | LR: 7.9618e-05 | Device: cuda | Batch_t:  3.24s | Remaining: 16.67h
Epoch 001/1 | Batch 0003/4 | Index 0075/4710 | Loss:  18.4655 | Loss_p:    12.03 | PPx:   575.25 | Lexp:     8.53 | LR: 8.0679e-05 | Device: cuda | Batch_t:  2.89s | Remaining: 14.89h
Epoch 001/1 | Batch 0003/4 | Index 0076/4710 | Loss:  18.4357 | Loss_p:    12.04 | PPx:   552.72 | Lexp:     8.54 | LR: 8.1741e-05 | Device: cuda | Batch_t:  3.33s | Remaining: 17.15h
Epoch 001/1 | Batch 0003/4 | Index 0077/4710 | Loss:  18.3897 | Loss_p:    12.02 | PPx:   534.75 | Lexp:     8.49 | LR: 8.2803e-05 | Device: cuda | Batch_t:  3.31s | Remaining: 17.05h
Epoch 001/1 | Batch 0003/4 | Index 0078/4710 | Loss:  18.4638 | Loss_p:    12.02 | PPx:   578.29 | Lexp:     8.84 | LR: 8.3864e-05 | Device: cuda | Batch_t:  3.29s | Remaining: 16.95h
Epoch 001/1 | Batch 0003/4 | Index 0079/4710 | Loss:  18.5318 | Loss_p:    12.03 | PPx:   609.14 | Lexp:     8.80 | LR: 8.4926e-05 | Device: cuda | Batch_t:  3.33s | Remaining: 17.15h
Epoch 001/1 | Batch 0003/4 | Index 0080/4710 | Loss:  18.3715 | Loss_p:    12.03 | PPx:   523.62 | Lexp:     8.28 | LR: 8.5987e-05 | Device: cuda | Batch_t:  3.24s | Remaining: 16.67h
| Estimated Remaining:20.66 hours | 
Epoch 001/1 | Batch 0003/4 | Index 0081/4710 | Loss:  18.4426 | Loss_p:    12.03 | PPx:   559.03 | Lexp:     8.66 | LR: 8.7049e-05 | Device: cuda | Batch_t:  3.24s | Remaining: 16.66h
Epoch 001/1 | Batch 0003/4 | Index 0082/4710 | Loss:  18.4364 | Loss_p:    12.03 | PPx:   558.26 | Lexp:     8.51 | LR: 8.8110e-05 | Device: cuda | Batch_t:  3.28s | Remaining: 16.88h
Epoch 001/1 | Batch 0003/4 | Index 0083/4710 | Loss:  18.3435 | Loss_p:    12.02 | PPx:   509.64 | Lexp:     8.83 | LR: 8.9172e-05 | Device: cuda | Batch_t:  3.25s | Remaining: 16.73h
Epoch 001/1 | Batch 0003/4 | Index 0084/4710 | Loss:  18.4159 | Loss_p:    12.03 | PPx:   545.77 | Lexp:     8.69 | LR: 9.0234e-05 | Device: cuda | Batch_t:  5.09s | Remaining: 26.17h
Epoch 001/1 | Batch 0003/4 | Index 0085/4710 | Loss:  18.4158 | Loss_p:    12.02 | PPx:   550.08 | Lexp:     8.51 | LR: 9.1295e-05 | Device: cuda | Batch_t:  3.94s | Remaining: 20.26h
